MASS (MeV)   | SCALE      | k    | TOPOLOGY        | LIFETIME (s) | STATUS
28407.28     | BARYON     | 181  | Spinor (+0.5)   | 4.5e-17      | PREDICTION (Resonance)
28416.05     | LEPTON     | 269  | Sphere (+2.0)   | 1.6e-18      | PREDICTION (Resonance)
28419.30     | LEPTON     | 277  | Sphere (-2.0)   | 1.3e-18      | PREDICTION (Resonance)
28421.42     | LEPTON     | 271  | Vector (+1.0)   | 3.0e-18      | PREDICTION (Resonance)
28423.75     | LEPTON     | 273  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28430.25     | MESON      | 406  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28460.38     | BARYON     | 182  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28500.28     | MESON      | 407  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28510.55     | BARYON     | 181  | Vector (+1.0)   | 2.3e-17      | PREDICTION (Resonance)
28527.87     | LEPTON     | 274  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28570.30     | MESON      | 408  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28616.76     | BARYON     | 183  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28627.32     | LEPTON     | 271  | Sphere (+2.0)   | 1.5e-18      | PREDICTION (Resonance)
28629.76     | LEPTON     | 277  | Vector (-1.0)   | 2.7e-18      | PREDICTION (Resonance)
28631.99     | LEPTON     | 275  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28640.33     | MESON      | 409  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28710.35     | MESON      | 410  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28717.10     | BARYON     | 181  | Sphere (+2.0)   | 1.1e-17      | PREDICTION (Resonance)
28734.99     | LEPTON     | 277  | Spinor (-0.5)   | 5.4e-18      | PREDICTION (Resonance)
28736.10     | LEPTON     | 276  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28773.14     | BARYON     | 184  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28780.38     | MESON      | 411  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28829.69     | LEPTON     | 281  | Sphere (-2.0)   | 1.3e-18      | PREDICTION (Resonance)
28840.22     | LEPTON     | 277  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28850.40     | MESON      | 412  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28920.43     | MESON      | 413  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28929.51     | BARYON     | 185  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28944.34     | LEPTON     | 278  | Perfect (0)     | STABLE       | PREDICTION (Stable)
28945.45     | LEPTON     | 277  | Spinor (+0.5)   | 5.4e-18      | PREDICTION (Resonance)
28990.45     | MESON      | 414  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29034.89     | LEPTON     | 283  | Sphere (-2.0)   | 1.2e-18      | PREDICTION (Resonance)
29043.19     | LEPTON     | 281  | Vector (-1.0)   | 2.5e-18      | PREDICTION (Resonance)
29048.45     | LEPTON     | 279  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29050.68     | LEPTON     | 277  | Vector (+1.0)   | 2.7e-18      | PREDICTION (Resonance)
29060.48     | MESON      | 415  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29085.89     | BARYON     | 186  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29130.50     | MESON      | 416  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29149.94     | LEPTON     | 281  | Spinor (-0.5)   | 5.0e-18      | PREDICTION (Resonance)
29152.57     | LEPTON     | 280  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29200.53     | MESON      | 417  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29242.26     | BARYON     | 187  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29249.90     | LEPTON     | 283  | Vector (-1.0)   | 2.4e-18      | PREDICTION (Resonance)
29256.68     | LEPTON     | 281  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29261.13     | LEPTON     | 277  | Sphere (+2.0)   | 1.4e-18      | PREDICTION (Resonance)
29270.56     | MESON      | 418  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29340.58     | MESON      | 419  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29357.41     | LEPTON     | 283  | Spinor (-0.5)   | 4.8e-18      | PREDICTION (Resonance)
29360.80     | LEPTON     | 282  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29363.43     | LEPTON     | 281  | Spinor (+0.5)   | 5.0e-18      | PREDICTION (Resonance)
29398.64     | BARYON     | 188  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29410.61     | MESON      | 420  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29431.85     | BARYON     | 191  | Sphere (-2.0)   | 8.6e-18      | PREDICTION (Resonance)
29464.92     | LEPTON     | 283  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29470.18     | LEPTON     | 281  | Vector (+1.0)   | 2.5e-18      | PREDICTION (Resonance)
29480.63     | MESON      | 421  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29550.66     | MESON      | 422  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29555.01     | BARYON     | 189  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29569.03     | LEPTON     | 284  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29572.43     | LEPTON     | 283  | Spinor (+0.5)   | 4.8e-18      | PREDICTION (Resonance)
29620.68     | MESON      | 423  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29649.81     | BARYON     | 191  | Vector (-1.0)   | 1.7e-17      | PREDICTION (Resonance)
29673.15     | LEPTON     | 285  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29679.93     | LEPTON     | 283  | Vector (+1.0)   | 2.4e-18      | PREDICTION (Resonance)
29683.68     | LEPTON     | 281  | Sphere (+2.0)   | 1.3e-18      | PREDICTION (Resonance)
29690.71     | MESON      | 424  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29711.39     | BARYON     | 190  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29740.04     | BARYON     | 193  | Sphere (-2.0)   | 8.2e-18      | PREDICTION (Resonance)
29758.79     | BARYON     | 191  | Spinor (-0.5)   | 3.4e-17      | PREDICTION (Resonance)
29760.73     | MESON      | 425  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29777.27     | LEPTON     | 286  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29830.76     | MESON      | 426  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29867.77     | BARYON     | 191  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29881.38     | LEPTON     | 287  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29894.95     | LEPTON     | 283  | Sphere (+2.0)   | 1.2e-18      | PREDICTION (Resonance)
29900.78     | MESON      | 427  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29960.28     | BARYON     | 193  | Vector (-1.0)   | 1.6e-17      | PREDICTION (Resonance)
29970.81     | MESON      | 428  | Perfect (0)     | STABLE       | PREDICTION (Stable)
29976.74     | BARYON     | 191  | Spinor (+0.5)   | 3.4e-17      | PREDICTION (Resonance)
29985.50     | LEPTON     | 288  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30024.14     | BARYON     | 192  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30040.83     | MESON      | 429  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30060.85     | LEPTON     | 293  | Sphere (-2.0)   | 1.0e-18      | PREDICTION (Resonance)
30070.40     | BARYON     | 193  | Spinor (-0.5)   | 3.3e-17      | PREDICTION (Resonance)
30085.72     | BARYON     | 191  | Vector (+1.0)   | 1.7e-17      | PREDICTION (Resonance)
30089.62     | LEPTON     | 289  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30110.86     | MESON      | 430  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30180.52     | BARYON     | 193  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30180.88     | MESON      | 431  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30193.73     | LEPTON     | 290  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30250.91     | MESON      | 432  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30283.47     | LEPTON     | 293  | Vector (-1.0)   | 2.0e-18      | PREDICTION (Resonance)
30290.64     | BARYON     | 193  | Spinor (+0.5)   | 3.3e-17      | PREDICTION (Resonance)
30297.85     | LEPTON     | 291  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30303.68     | BARYON     | 191  | Sphere (+2.0)   | 8.8e-18      | PREDICTION (Resonance)
30320.93     | MESON      | 433  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30336.89     | BARYON     | 194  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30356.42     | BARYON     | 197  | Sphere (-2.0)   | 7.4e-18      | PREDICTION (Resonance)
30390.96     | MESON      | 434  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30394.77     | LEPTON     | 293  | Spinor (-0.5)   | 4.0e-18      | PREDICTION (Resonance)
30400.76     | BARYON     | 193  | Vector (+1.0)   | 1.6e-17      | PREDICTION (Resonance)
30401.96     | LEPTON     | 292  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30460.98     | MESON      | 435  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30493.27     | BARYON     | 195  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30506.08     | LEPTON     | 293  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30531.01     | MESON      | 436  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30581.22     | BARYON     | 197  | Vector (-1.0)   | 1.5e-17      | PREDICTION (Resonance)
30601.03     | MESON      | 437  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30610.20     | LEPTON     | 294  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30617.39     | LEPTON     | 293  | Spinor (+0.5)   | 4.1e-18      | PREDICTION (Resonance)
30620.99     | BARYON     | 193  | Sphere (+2.0)   | 8.3e-18      | PREDICTION (Resonance)
30649.64     | BARYON     | 196  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30664.60     | BARYON     | 199  | Sphere (-2.0)   | 7.0e-18      | PREDICTION (Resonance)
30671.06     | MESON      | 438  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30693.62     | BARYON     | 197  | Spinor (-0.5)   | 2.9e-17      | PREDICTION (Resonance)
30714.31     | LEPTON     | 295  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30728.69     | LEPTON     | 293  | Vector (+1.0)   | 2.0e-18      | PREDICTION (Resonance)
30741.09     | MESON      | 439  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30806.02     | BARYON     | 197  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30811.11     | MESON      | 440  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30818.43     | LEPTON     | 296  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30881.14     | MESON      | 441  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30891.69     | BARYON     | 199  | Vector (-1.0)   | 1.4e-17      | PREDICTION (Resonance)
30918.42     | BARYON     | 197  | Spinor (+0.5)   | 3.0e-17      | PREDICTION (Resonance)
30922.55     | LEPTON     | 297  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30951.16     | MESON      | 442  | Perfect (0)     | STABLE       | PREDICTION (Stable)
30951.31     | LEPTON     | 293  | Sphere (+2.0)   | 1.0e-18      | PREDICTION (Resonance)
30962.40     | BARYON     | 198  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31005.23     | BARYON     | 199  | Spinor (-0.5)   | 2.8e-17      | PREDICTION (Resonance)
31021.19     | MESON      | 443  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31026.66     | LEPTON     | 298  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31030.82     | BARYON     | 197  | Vector (+1.0)   | 1.5e-17      | PREDICTION (Resonance)
31091.21     | MESON      | 444  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31118.77     | BARYON     | 199  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31130.78     | LEPTON     | 299  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31161.24     | MESON      | 445  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31231.26     | MESON      | 446  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31232.31     | BARYON     | 199  | Spinor (+0.5)   | 2.8e-17      | PREDICTION (Resonance)
31234.89     | LEPTON     | 300  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31255.63     | BARYON     | 197  | Sphere (+2.0)   | 7.5e-18      | PREDICTION (Resonance)
31275.15     | BARYON     | 200  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31301.29     | MESON      | 447  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31339.01     | LEPTON     | 301  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31345.86     | BARYON     | 199  | Vector (+1.0)   | 1.4e-17      | PREDICTION (Resonance)
31371.31     | MESON      | 448  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31431.52     | BARYON     | 201  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31441.34     | MESON      | 449  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31443.13     | LEPTON     | 302  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31497.21     | LEPTON     | 307  | Sphere (-2.0)   | 8.1e-19      | PREDICTION (Resonance)
31511.36     | MESON      | 450  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31547.24     | LEPTON     | 303  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31572.94     | BARYON     | 199  | Sphere (+2.0)   | 7.1e-18      | PREDICTION (Resonance)
31581.39     | MESON      | 451  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31587.90     | BARYON     | 202  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31651.36     | LEPTON     | 304  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31651.41     | MESON      | 452  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31721.44     | MESON      | 453  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31730.46     | LEPTON     | 307  | Vector (-1.0)   | 1.6e-18      | PREDICTION (Resonance)
31744.27     | BARYON     | 203  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31755.48     | LEPTON     | 305  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31791.46     | MESON      | 454  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31847.08     | LEPTON     | 307  | Spinor (-0.5)   | 3.2e-18      | PREDICTION (Resonance)
31859.59     | LEPTON     | 306  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31861.49     | MESON      | 455  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31900.65     | BARYON     | 204  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31907.59     | LEPTON     | 311  | Sphere (-2.0)   | 7.5e-19      | PREDICTION (Resonance)
31931.51     | MESON      | 456  | Perfect (0)     | STABLE       | PREDICTION (Stable)
31963.71     | LEPTON     | 307  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32001.54     | MESON      | 457  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32057.03     | BARYON     | 205  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32067.83     | LEPTON     | 308  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32071.57     | MESON      | 458  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32080.33     | LEPTON     | 307  | Spinor (+0.5)   | 3.2e-18      | PREDICTION (Resonance)
32112.79     | LEPTON     | 313  | Sphere (-2.0)   | 7.3e-19      | PREDICTION (Resonance)
32141.59     | MESON      | 459  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32143.88     | LEPTON     | 311  | Vector (-1.0)   | 1.5e-18      | PREDICTION (Resonance)
32171.94     | LEPTON     | 309  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32196.96     | LEPTON     | 307  | Vector (+1.0)   | 1.6e-18      | PREDICTION (Resonance)
32211.62     | MESON      | 460  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32213.40     | BARYON     | 206  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32262.03     | LEPTON     | 311  | Spinor (-0.5)   | 3.0e-18      | PREDICTION (Resonance)
32276.06     | LEPTON     | 310  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32281.64     | MESON      | 461  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32350.60     | LEPTON     | 313  | Vector (-1.0)   | 1.5e-18      | PREDICTION (Resonance)
32351.67     | MESON      | 462  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32369.78     | BARYON     | 207  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32380.17     | LEPTON     | 311  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32421.69     | MESON      | 463  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32430.21     | LEPTON     | 307  | Sphere (+2.0)   | 8.2e-19      | PREDICTION (Resonance)
32469.50     | LEPTON     | 313  | Spinor (-0.5)   | 2.9e-18      | PREDICTION (Resonance)
32484.29     | LEPTON     | 312  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32491.72     | MESON      | 464  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32498.32     | LEPTON     | 311  | Spinor (+0.5)   | 3.0e-18      | PREDICTION (Resonance)
32513.72     | BARYON     | 211  | Sphere (-2.0)   | 5.3e-18      | PREDICTION (Resonance)
32523.18     | LEPTON     | 317  | Sphere (-2.0)   | 6.9e-19      | PREDICTION (Resonance)
32526.15     | BARYON     | 208  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32561.74     | MESON      | 465  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32588.41     | LEPTON     | 313  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32616.46     | LEPTON     | 311  | Vector (+1.0)   | 1.5e-18      | PREDICTION (Resonance)
32631.77     | MESON      | 466  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32682.53     | BARYON     | 209  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32692.52     | LEPTON     | 314  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32701.79     | MESON      | 467  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32707.31     | LEPTON     | 313  | Spinor (+0.5)   | 2.9e-18      | PREDICTION (Resonance)
32754.50     | BARYON     | 211  | Vector (-1.0)   | 1.0e-17      | PREDICTION (Resonance)
32764.02     | LEPTON     | 317  | Vector (-1.0)   | 1.4e-18      | PREDICTION (Resonance)
32771.82     | MESON      | 468  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32796.64     | LEPTON     | 315  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32826.22     | LEPTON     | 313  | Vector (+1.0)   | 1.5e-18      | PREDICTION (Resonance)
32838.90     | BARYON     | 210  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32841.84     | MESON      | 469  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32852.75     | LEPTON     | 311  | Sphere (+2.0)   | 7.7e-19      | PREDICTION (Resonance)
32874.89     | BARYON     | 211  | Spinor (-0.5)   | 2.1e-17      | PREDICTION (Resonance)
32884.45     | LEPTON     | 317  | Spinor (-0.5)   | 2.7e-18      | PREDICTION (Resonance)
32900.76     | LEPTON     | 316  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32911.87     | MESON      | 470  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32981.89     | MESON      | 471  | Perfect (0)     | STABLE       | PREDICTION (Stable)
32995.28     | BARYON     | 211  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33004.87     | LEPTON     | 317  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33051.92     | MESON      | 472  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33064.02     | LEPTON     | 313  | Sphere (+2.0)   | 7.4e-19      | PREDICTION (Resonance)
33108.99     | LEPTON     | 318  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33115.67     | BARYON     | 211  | Spinor (+0.5)   | 2.1e-17      | PREDICTION (Resonance)
33121.94     | MESON      | 473  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33125.30     | LEPTON     | 317  | Spinor (+0.5)   | 2.7e-18      | PREDICTION (Resonance)
33151.66     | BARYON     | 212  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33191.97     | MESON      | 474  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33213.10     | LEPTON     | 319  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33236.06     | BARYON     | 211  | Vector (+1.0)   | 1.1e-17      | PREDICTION (Resonance)
33245.72     | LEPTON     | 317  | Vector (+1.0)   | 1.4e-18      | PREDICTION (Resonance)
33261.99     | MESON      | 475  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33308.03     | BARYON     | 213  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33317.22     | LEPTON     | 320  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33332.02     | MESON      | 476  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33402.05     | MESON      | 477  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33421.34     | LEPTON     | 321  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33464.41     | BARYON     | 214  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33472.07     | MESON      | 478  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33476.84     | BARYON     | 211  | Sphere (+2.0)   | 5.3e-18      | PREDICTION (Resonance)
33486.57     | LEPTON     | 317  | Sphere (+2.0)   | 7.0e-19      | PREDICTION (Resonance)
33525.45     | LEPTON     | 322  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33542.10     | MESON      | 479  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33612.12     | MESON      | 480  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33620.78     | BARYON     | 215  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33629.57     | LEPTON     | 323  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33682.15     | MESON      | 481  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33733.69     | LEPTON     | 324  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33752.17     | MESON      | 482  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33777.16     | BARYON     | 216  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33822.20     | MESON      | 483  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33837.80     | LEPTON     | 325  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33892.22     | MESON      | 484  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33933.54     | BARYON     | 217  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33941.92     | LEPTON     | 326  | Perfect (0)     | STABLE       | PREDICTION (Stable)
33959.53     | LEPTON     | 331  | Sphere (-2.0)   | 5.5e-19      | PREDICTION (Resonance)
33962.25     | MESON      | 485  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34032.27     | MESON      | 486  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34046.04     | LEPTON     | 327  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34089.91     | BARYON     | 218  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34102.30     | MESON      | 487  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34150.15     | LEPTON     | 328  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34172.32     | MESON      | 488  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34211.02     | LEPTON     | 331  | Vector (-1.0)   | 1.1e-18      | PREDICTION (Resonance)
34242.35     | MESON      | 489  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34246.29     | BARYON     | 219  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34254.27     | LEPTON     | 329  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34312.37     | MESON      | 490  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34336.76     | LEPTON     | 331  | Spinor (-0.5)   | 2.2e-18      | PREDICTION (Resonance)
34358.38     | LEPTON     | 330  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34362.85     | BARYON     | 223  | Sphere (-2.0)   | 4.0e-18      | PREDICTION (Resonance)
34382.40     | MESON      | 491  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34402.66     | BARYON     | 220  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34452.42     | MESON      | 492  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34462.50     | LEPTON     | 331  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34522.45     | MESON      | 493  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34559.04     | BARYON     | 221  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34566.62     | LEPTON     | 332  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34575.11     | LEPTON     | 337  | Sphere (-2.0)   | 5.1e-19      | PREDICTION (Resonance)
34588.24     | LEPTON     | 331  | Spinor (+0.5)   | 2.2e-18      | PREDICTION (Resonance)
34592.47     | MESON      | 494  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34617.32     | BARYON     | 223  | Vector (-1.0)   | 7.9e-18      | PREDICTION (Resonance)
34662.50     | MESON      | 495  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34670.73     | LEPTON     | 333  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34713.99     | LEPTON     | 331  | Vector (+1.0)   | 1.1e-18      | PREDICTION (Resonance)
34715.41     | BARYON     | 222  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34732.52     | MESON      | 496  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34744.55     | BARYON     | 223  | Spinor (-0.5)   | 1.6e-17      | PREDICTION (Resonance)
34774.85     | LEPTON     | 334  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34802.55     | MESON      | 497  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34831.15     | LEPTON     | 337  | Vector (-1.0)   | 1.0e-18      | PREDICTION (Resonance)
34871.79     | BARYON     | 223  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34872.58     | MESON      | 498  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34878.97     | LEPTON     | 335  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34942.60     | MESON      | 499  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34959.18     | LEPTON     | 337  | Spinor (-0.5)   | 2.0e-18      | PREDICTION (Resonance)
34965.47     | LEPTON     | 331  | Sphere (+2.0)   | 5.6e-19      | PREDICTION (Resonance)
34979.22     | BARYON     | 227  | Sphere (-2.0)   | 3.6e-18      | PREDICTION (Resonance)
34983.08     | LEPTON     | 336  | Perfect (0)     | STABLE       | PREDICTION (Stable)
34999.03     | BARYON     | 223  | Spinor (+0.5)   | 1.6e-17      | PREDICTION (Resonance)
35012.63     | MESON      | 500  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35028.17     | BARYON     | 224  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35082.65     | MESON      | 501  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35087.20     | LEPTON     | 337  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35126.26     | BARYON     | 223  | Vector (+1.0)   | 8.0e-18      | PREDICTION (Resonance)
35152.68     | MESON      | 502  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35184.54     | BARYON     | 225  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35191.31     | LEPTON     | 338  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35215.22     | LEPTON     | 337  | Spinor (+0.5)   | 2.0e-18      | PREDICTION (Resonance)
35222.70     | MESON      | 503  | Perfect (0)     | STABLE       | PREDICTION (Stable)
