MASS (MeV)   | SCALE      | k    | TOPOLOGY        | LIFETIME (s) | STATUS
69133.23     | LEPTON     | 664  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69149.90     | BARYON     | 439  | Vector (+1.0)   | 2.7e-19      | PREDICTION (Resonance)
69184.95     | MESON      | 988  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69187.97     | BARYON     | 449  | Sphere (-2.0)   | 1.2e-19      | PREDICTION (Resonance)
69237.35     | LEPTON     | 665  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69254.97     | MESON      | 989  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69274.45     | BARYON     | 443  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69323.09     | LEPTON     | 661  | Vector (+1.0)   | 3.5e-20      | PREDICTION (Resonance)
69325.00     | MESON      | 990  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69341.47     | LEPTON     | 666  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69395.02     | MESON      | 991  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69430.83     | BARYON     | 444  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69445.58     | LEPTON     | 667  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69458.01     | LEPTON     | 677  | Sphere (-2.0)   | 1.5e-20      | PREDICTION (Resonance)
69465.05     | MESON      | 992  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69527.21     | BARYON     | 443  | Spinor (+0.5)   | 5.1e-19      | PREDICTION (Resonance)
69535.07     | MESON      | 993  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69549.70     | LEPTON     | 668  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69558.95     | LEPTON     | 673  | Vector (-1.0)   | 3.2e-20      | PREDICTION (Resonance)
69587.20     | BARYON     | 445  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69605.10     | MESON      | 994  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69614.03     | LEPTON     | 659  | Sphere (+2.0)   | 1.8e-20      | PREDICTION (Resonance)
69650.86     | BARYON     | 439  | Sphere (+2.0)   | 1.4e-19      | PREDICTION (Resonance)
69653.81     | LEPTON     | 669  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69675.13     | MESON      | 995  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69700.34     | BARYON     | 449  | Vector (-1.0)   | 2.4e-19      | PREDICTION (Resonance)
69743.58     | BARYON     | 446  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69745.15     | MESON      | 996  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69757.93     | LEPTON     | 670  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69779.97     | BARYON     | 443  | Vector (+1.0)   | 2.6e-19      | PREDICTION (Resonance)
69814.62     | LEPTON     | 673  | Spinor (-0.5)   | 6.3e-20      | PREDICTION (Resonance)
69815.18     | MESON      | 997  | Perfect (0)     | STABLE       | PREDICTION (Stable)
69825.30     | LEPTON     | 661  | Sphere (+2.0)   | 1.8e-20      | PREDICTION (Resonance)
