Theory_MeV,Scale_Type,k_Node,Is_Prime,Stability_Score,Status,Match_Name,Error_Percent
41104.8227,MESON (A^-1),587,True,30,NOISE,,
41126.8190,BARYON (Pi^5),263,True,50,RESONANCE,,
41524.9742,MESON (A^-1),593,True,30,NOISE,,
41945.1257,MESON (A^-1),599,True,30,NOISE,,
42065.0734,BARYON (Pi^5),269,True,50,RESONANCE,,
42085.1762,MESON (A^-1),601,True,30,NOISE,,
42377.8249,BARYON (Pi^5),271,True,50,RESONANCE,,
42505.3277,MESON (A^-1),607,True,30,NOISE,,
42925.4793,MESON (A^-1),613,True,30,NOISE,,
43205.5803,MESON (A^-1),617,True,30,NOISE,,
43316.0793,BARYON (Pi^5),277,True,50,RESONANCE,,
43345.6308,MESON (A^-1),619,True,30,NOISE,,
43941.5823,BARYON (Pi^5),281,True,50,RESONANCE,,
44185.9338,MESON (A^-1),631,True,30,NOISE,,
44254.3337,BARYON (Pi^5),283,True,50,RESONANCE,,
44886.1863,MESON (A^-1),641,True,30,NOISE,,
45026.2368,MESON (A^-1),643,True,30,NOISE,,
45306.3378,MESON (A^-1),647,True,30,NOISE,,
45726.4893,MESON (A^-1),653,True,30,NOISE,,
45818.0911,BARYON (Pi^5),293,True,50,RESONANCE,,
46146.6408,MESON (A^-1),659,True,30,NOISE,,
46286.6913,MESON (A^-1),661,True,30,NOISE,,
47126.9944,MESON (A^-1),673,True,30,NOISE,,
47407.0954,MESON (A^-1),677,True,30,NOISE,,
47827.2469,MESON (A^-1),683,True,30,NOISE,,
48007.3514,BARYON (Pi^5),307,True,50,RESONANCE,,
48387.4489,MESON (A^-1),691,True,30,NOISE,,
48632.8544,BARYON (Pi^5),311,True,50,RESONANCE,,
48945.6059,BARYON (Pi^5),313,True,50,RESONANCE,,
49087.7014,MESON (A^-1),701,True,30,NOISE,,
49571.1088,BARYON (Pi^5),317,True,50,RESONANCE,,
49647.9034,MESON (A^-1),709,True,30,NOISE,,
50348.1559,MESON (A^-1),719,True,30,NOISE,,
50908.3579,MESON (A^-1),727,True,30,NOISE,,
51328.5095,MESON (A^-1),733,True,30,NOISE,,
51748.6610,MESON (A^-1),739,True,30,NOISE,,
51760.3691,BARYON (Pi^5),331,True,50,RESONANCE,,
52028.7620,MESON (A^-1),743,True,30,NOISE,,
52588.9640,MESON (A^-1),751,True,30,NOISE,,
52698.6236,BARYON (Pi^5),337,True,50,RESONANCE,,
53009.1155,MESON (A^-1),757,True,30,NOISE,,
53289.2165,MESON (A^-1),761,True,30,NOISE,,
53849.4185,MESON (A^-1),769,True,30,NOISE,,
54129.5195,MESON (A^-1),773,True,30,NOISE,,
54262.3809,BARYON (Pi^5),347,True,50,RESONANCE,,
54575.1324,BARYON (Pi^5),349,True,50,RESONANCE,,
55109.8730,MESON (A^-1),787,True,30,NOISE,,
55200.6354,BARYON (Pi^5),353,True,50,RESONANCE,,
55810.1256,MESON (A^-1),797,True,30,NOISE,,
56138.8898,BARYON (Pi^5),359,True,50,RESONANCE,,
56650.4286,MESON (A^-1),809,True,30,NOISE,,
56790.4791,MESON (A^-1),811,True,30,NOISE,,
57389.8957,BARYON (Pi^5),367,True,50,RESONANCE,,
57490.7316,MESON (A^-1),821,True,30,NOISE,,
57630.7821,MESON (A^-1),823,True,30,NOISE,,
57910.8831,MESON (A^-1),827,True,30,NOISE,,
58050.9336,MESON (A^-1),829,True,30,NOISE,,
58328.1501,BARYON (Pi^5),373,True,50,RESONANCE,,
58751.1861,MESON (A^-1),839,True,30,NOISE,,
59266.4046,BARYON (Pi^5),379,True,50,RESONANCE,,
59731.5397,MESON (A^-1),853,True,30,NOISE,,
59891.9075,BARYON (Pi^5),383,True,50,RESONANCE,,
