AUDIT GEOMETRICKÉ TEORIE - 175 GALAXIÍ
============================================================
NGC4085: Newton Err=33.54, Geom Err=55.33, Zlepšení=-65.0%
NGC4088: Newton Err=50.79, Geom Err=91.07, Zlepšení=-79.3%
PGC51017: Newton Err=4.52, Geom Err=24.61, Zlepšení=-444.2%
IC4202: Newton Err=35.22, Geom Err=51.58, Zlepšení=-46.4%
UGC00128: Newton Err=65.11, Geom Err=13.74, Zlepšení=78.9%
UGCA442: Newton Err=26.10, Geom Err=3.97, Zlepšení=84.8%
UGC06787: Newton Err=64.96, Geom Err=42.84, Zlepšení=34.0%
NGC1003: Newton Err=48.15, Geom Err=18.85, Zlepšení=60.9%
NGC6015: Newton Err=43.32, Geom Err=20.87, Zlepšení=51.8%
UGC07089: Newton Err=14.93, Geom Err=25.64, Zlepšení=-71.8%
NGC6195: Newton Err=43.85, Geom Err=87.77, Zlepšení=-100.2%
UGC02885: Newton Err=69.36, Geom Err=43.19, Zlepšení=37.7%
UGC07323: Newton Err=10.35, Geom Err=21.50, Zlepšení=-107.7%
UGC02455: Newton Err=35.38, Geom Err=57.23, Zlepšení=-61.8%
F563-V1: Newton Err=1.90, Geom Err=33.66, Zlepšení=-1667.2%
UGC04305: Newton Err=4.93, Geom Err=31.81, Zlepšení=-545.3%
NGC3521: Newton Err=52.36, Geom Err=68.11, Zlepšení=-30.1%
NGC4559: Newton Err=23.92, Geom Err=38.92, Zlepšení=-62.7%
UGC05918: Newton Err=18.38, Geom Err=6.50, Zlepšení=64.6%
ESO563-G021: Newton Err=62.94, Geom Err=30.66, Zlepšení=51.3%
NGC5005: Newton Err=57.03, Geom Err=76.34, Zlepšení=-33.9%
NGC2998: Newton Err=35.12, Geom Err=42.27, Zlepšení=-20.3%
F568-3: Newton Err=33.87, Geom Err=11.92, Zlepšení=64.8%
UGC06923: Newton Err=15.11, Geom Err=20.43, Zlepšení=-35.2%
UGC02916: Newton Err=39.94, Geom Err=59.60, Zlepšení=-49.2%
D564-8: Newton Err=10.05, Geom Err=9.03, Zlepšení=10.1%
F574-1: Newton Err=36.45, Geom Err=8.72, Zlepšení=76.1%
UGC07690: Newton Err=13.01, Geom Err=13.22, Zlepšení=-1.7%
NGC4068: Newton Err=6.03, Geom Err=15.60, Zlepšení=-158.6%
NGC2683: Newton Err=33.12, Geom Err=47.87, Zlepšení=-44.6%
F571-8: Newton Err=47.87, Geom Err=38.82, Zlepšení=18.9%
UGC06786: Newton Err=51.95, Geom Err=19.83, Zlepšení=61.8%
UGC03546: Newton Err=72.11, Geom Err=81.73, Zlepšení=-13.3%
DDO168: Newton Err=18.77, Geom Err=8.92, Zlepšení=52.4%
UGC06399: Newton Err=28.75, Geom Err=7.39, Zlepšení=74.3%
NGC4138: Newton Err=31.52, Geom Err=39.48, Zlepšení=-25.2%
NGC4013: Newton Err=39.27, Geom Err=48.59, Zlepšení=-23.7%
UGC06983: Newton Err=42.45, Geom Err=8.90, Zlepšení=79.0%
UGC07232: Newton Err=9.11, Geom Err=6.98, Zlepšení=23.3%
UGC06446: Newton Err=37.55, Geom Err=4.92, Zlepšení=86.9%
F568-V1: Newton Err=55.12, Geom Err=16.20, Zlepšení=70.6%
UGC08837: Newton Err=7.84, Geom Err=19.71, Zlepšení=-151.5%
NGC7331: Newton Err=70.60, Geom Err=98.17, Zlepšení=-39.1%
UGC12506: Newton Err=78.84, Geom Err=23.37, Zlepšení=70.4%
NGC5055: Newton Err=58.27, Geom Err=82.82, Zlepšení=-42.1%
UGC05986: Newton Err=39.00, Geom Err=6.64, Zlepšení=83.0%
NGC5033: Newton Err=61.16, Geom Err=46.60, Zlepšení=23.8%
DDO170: Newton Err=24.54, Geom Err=15.95, Zlepšení=35.0%
F567-2: Newton Err=12.28, Geom Err=26.99, Zlepšení=-119.8%
