SIMULATION LOG - STABLE CANDIDATES ONLY
VACUUM_FREQ: 137.035999
------------------------------------------------------------
FREQ_HZ      | RATIO (w/vac)   | MAX_STRAIN   | STATUS
7.8179       | 0.057050        | 0.999843     | STABLE
7.8478       | 0.057268        | 0.999939     | STABLE
7.8777       | 0.057486        | 0.999739     | STABLE
7.9076       | 0.057704        | 0.999966     | STABLE
7.9375       | 0.057923        | 0.999931     | STABLE
7.9674       | 0.058141        | 0.999870     | STABLE
7.9973       | 0.058359        | 0.999796     | STABLE
8.0272       | 0.058577        | 0.999834     | STABLE
8.0571       | 0.058796        | 0.999807     | STABLE
8.0870       | 0.059014        | 0.999951     | STABLE
8.1169       | 0.059232        | 0.999856     | STABLE
8.1468       | 0.059450        | 0.999955     | STABLE
8.1767       | 0.059668        | 0.999924     | STABLE
8.2066       | 0.059887        | 0.999948     | STABLE
8.2365       | 0.060105        | 0.999958     | STABLE
8.2664       | 0.060323        | 0.999967     | STABLE
8.2963       | 0.060541        | 0.999985     | STABLE
8.3262       | 0.060759        | 0.999985     | STABLE
8.3561       | 0.060978        | 0.999774     | STABLE
8.3860       | 0.061196        | 0.999473     | STABLE
8.4159       | 0.061414        | 0.999225     | STABLE
8.4458       | 0.061632        | 0.999964     | STABLE
8.4757       | 0.061851        | 0.999806     | STABLE
8.5057       | 0.062069        | 0.999697     | STABLE
8.5356       | 0.062287        | 0.999883     | STABLE
8.5655       | 0.062505        | 0.999667     | STABLE
8.5954       | 0.062723        | 0.999905     | STABLE
8.6253       | 0.062942        | 0.999876     | STABLE
8.6552       | 0.063160        | 0.999719     | STABLE
8.6851       | 0.063378        | 0.999859     | STABLE
8.7150       | 0.063596        | 0.999997     | STABLE
8.7449       | 0.063814        | 0.999877     | STABLE
8.7748       | 0.064033        | 0.999990     | STABLE
8.8047       | 0.064251        | 0.999913     | STABLE
8.8346       | 0.064469        | 0.999967     | STABLE
8.8645       | 0.064687        | 0.999956     | STABLE
8.8944       | 0.064905        | 0.999923     | STABLE
8.9243       | 0.065124        | 0.999888     | STABLE
8.9542       | 0.065342        | 0.999691     | STABLE
8.9841       | 0.065560        | 0.999874     | STABLE
9.0140       | 0.065778        | 0.999909     | STABLE
9.0439       | 0.065997        | 0.999984     | STABLE
9.0738       | 0.066215        | 0.999903     | STABLE
9.1037       | 0.066433        | 0.999669     | STABLE
9.1336       | 0.066651        | 0.999876     | STABLE
9.1635       | 0.066869        | 0.999977     | STABLE
9.1934       | 0.067088        | 0.999882     | STABLE
9.2233       | 0.067306        | 0.999782     | STABLE
9.2532       | 0.067524        | 0.999926     | STABLE
9.2831       | 0.067742        | 0.999995     | STABLE
9.3130       | 0.067960        | 0.999815     | STABLE
9.3429       | 0.068179        | 0.999965     | STABLE
9.3728       | 0.068397        | 0.999965     | STABLE
9.4027       | 0.068615        | 0.999937     | STABLE
9.4326       | 0.068833        | 0.999976     | STABLE
9.4625       | 0.069052        | 0.999999     | STABLE
9.4924       | 0.069270        | 0.999790     | STABLE
9.5224       | 0.069488        | 0.999984     | STABLE
9.5523       | 0.069706        | 0.999830     | STABLE
9.5822       | 0.069924        | 0.999915     | STABLE
9.6121       | 0.070143        | 0.999914     | STABLE
9.6420       | 0.070361        | 0.999868     | STABLE
9.6719       | 0.070579        | 0.999781     | STABLE
9.7018       | 0.070797        | 0.999913     | STABLE
9.7317       | 0.071015        | 0.999684     | STABLE
9.7616       | 0.071234        | 0.999817     | STABLE
9.7915       | 0.071452        | 0.999715     | STABLE
9.8214       | 0.071670        | 0.999943     | STABLE
9.8513       | 0.071888        | 0.999897     | STABLE
9.8812       | 0.072107        | 0.999811     | STABLE
9.9111       | 0.072325        | 0.999768     | STABLE
9.9410       | 0.072543        | 0.999920     | STABLE
9.9709       | 0.072761        | 0.999826     | STABLE
10.0008      | 0.072979        | 0.999959     | STABLE
10.0307      | 0.073198        | 0.999994     | STABLE
10.0606      | 0.073416        | 0.999931     | STABLE
10.0905      | 0.073634        | 0.999992     | STABLE
10.1204      | 0.073852        | 0.999917     | STABLE
10.1503      | 0.074070        | 0.999978     | STABLE
10.1802      | 0.074289        | 0.999887     | STABLE
10.2101      | 0.074507        | 0.999901     | STABLE
10.2400      | 0.074725        | 0.999997     | STABLE
10.2699      | 0.074943        | 0.999950     | STABLE
10.2998      | 0.075161        | 0.999909     | STABLE
10.3297      | 0.075380        | 0.999982     | STABLE
10.3596      | 0.075598        | 0.999985     | STABLE
10.3895      | 0.075816        | 0.999951     | STABLE
10.4194      | 0.076034        | 0.999965     | STABLE
10.4493      | 0.076253        | 0.999449     | STABLE
10.4792      | 0.076471        | 0.999957     | STABLE
10.5092      | 0.076689        | 0.999962     | STABLE
10.5391      | 0.076907        | 0.999859     | STABLE
10.5690      | 0.077125        | 0.999260     | STABLE
10.5989      | 0.077344        | 0.999944     | STABLE
10.6288      | 0.077562        | 0.999827     | STABLE
10.6587      | 0.077780        | 0.999997     | STABLE
10.6886      | 0.077998        | 0.999958     | STABLE
10.7185      | 0.078216        | 0.999883     | STABLE
10.7484      | 0.078435        | 0.999933     | STABLE
10.7783      | 0.078653        | 0.999853     | STABLE
10.8082      | 0.078871        | 0.999974     | STABLE
10.8381      | 0.079089        | 0.999995     | STABLE
10.8680      | 0.079308        | 0.999832     | STABLE
10.8979      | 0.079526        | 0.999970     | STABLE
10.9278      | 0.079744        | 0.999818     | STABLE
10.9577      | 0.079962        | 0.999955     | STABLE
10.9876      | 0.080180        | 0.999971     | STABLE
11.0175      | 0.080399        | 0.999912     | STABLE
11.0474      | 0.080617        | 0.999972     | STABLE
11.0773      | 0.080835        | 0.999985     | STABLE
11.1072      | 0.081053        | 0.999922     | STABLE
11.1371      | 0.081271        | 0.999954     | STABLE
11.1670      | 0.081490        | 0.999769     | STABLE
11.1969      | 0.081708        | 0.999887     | STABLE
11.2268      | 0.081926        | 0.999894     | STABLE
11.2567      | 0.082144        | 0.999864     | STABLE
11.2866      | 0.082363        | 0.999924     | STABLE
11.3165      | 0.082581        | 0.999972     | STABLE
11.3464      | 0.082799        | 0.999952     | STABLE
11.3763      | 0.083017        | 0.999983     | STABLE
11.4062      | 0.083235        | 0.999983     | STABLE
11.4361      | 0.083454        | 0.999885     | STABLE
11.4660      | 0.083672        | 0.999688     | STABLE
11.4959      | 0.083890        | 0.999877     | STABLE
11.5259      | 0.084108        | 0.999948     | STABLE
11.5558      | 0.084326        | 0.999883     | STABLE
11.5857      | 0.084545        | 0.999660     | STABLE
11.6156      | 0.084763        | 0.999898     | STABLE
11.6455      | 0.084981        | 0.999882     | STABLE
11.6754      | 0.085199        | 0.998993     | STABLE
11.7053      | 0.085417        | 0.999558     | STABLE
11.7352      | 0.085636        | 0.999879     | STABLE
11.7651      | 0.085854        | 0.999997     | STABLE
11.7950      | 0.086072        | 0.999907     | STABLE
